summonerId,summonerName,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
tJ2m5JhsVMhWEPr4XeSMSuD8lQkOA7m9LU1jDcHPNpUDF3A,인생에빨간줄,OzcseJgT1ZMsJeSuRzNm7uFsY6MyvYy6EyrrlLrfhOE7qRFjmMyANRWeomkezXaxQqfv7hfUE0w2SQ,27,I,118,107,False,False,False,False
kPS3Pa1aiH5I0snwGij6Mi_GvmeUnCXBnt_yWPNoK4te72E,WTS,F7PgEN5v9mZnuoljBj0tIWoUmIl0xSofRBOInRGPhJfy6gBlg92Ama3FWFEkz4k3x_dgsrffpbf52Q,0,I,82,65,False,False,False,False
7Hog9sObb0ZQlSAnJoJC6tUAcVzGOsYEsZTI3uVJVfFi3A,한 일,hKPZIwrHBVRgY9szsyck5TMMM34AASk0nd6ClFBKx1gErHxPrmYFR1lShjEKDcFrJ9NmT8AxgqfzSw,0,I,135,107,False,False,False,False
1NhPiFyIP-0AWe-DbYwp9L_TTEhae9D2eo9vg13yWEkd_2g,인어가 잠든 집,XN2IhHEZXHQnlnEL97BGNtyeMyymGqOQNohEXxcUWGPdKe5NekOUjA6q8tZR6R05zmQ7G_Aef0NqHw,41,I,114,83,False,False,True,False
6ReMw87XuPgRbFBtv-wz330zaVt-nMYjbwKNYSJP01KsGn0,화중군자군계일학,_MgNQVcoIoZGHfxsdT93PZMOQVekCixw_bn3HZy_hmFBWPl3igZn0tP7l3BESpfJg_LpI58wmNLWEA,0,I,99,77,False,False,False,False
_7CrwL0O1fvE3aVaQynuXy2zRnzsZyK_dgUq0X-exbIBZv0,릴리즈,BCN7phuvpLlGgRZlzW_FtJyTztLhON7auyl8wraZdB8qGklMBR9z22LD5ebz01CHBINxYFtmrl_2Pg,0,I,209,188,False,False,False,False
PBy1oliEJoKeFHu9IwcjZL8uOom0KIMI9z-YbVvQM6yzKQ,명예가낳은괴물,uHxcTlTBh0RZCRstTQhEiLTYUuKqvy2VBwzfqbYj3fwnqbk0jphKOncxhyn5FzyyHzJwL4svHPalHA,0,I,157,137,False,False,False,False
RvkERotofFeh5Lgs6_OorvhSrpKiKN57Ofh3C_KeYYY7pnE,하남자박창빈,mklRhi8D5qhYE2yx81-HQ5yPYsoJahEv2w6F2hSLYabIcSigT38BiHavNenovMbLMSnEzbAFdRuz8Q,8,I,84,67,False,False,False,False
I4FL0v1JjKslPq-suhZ9JvrcT0dUDh5WgdZaFju-DQaADg,제라스트롱맨,1fKQSXp6BmVtdF1ZPJvtOJwxEYBifIkCn-EuoIq3LXzCrDZu2IspKuVc9My0gglnxTXj3gwhsEVhgA,5,I,79,65,False,False,False,False
VgifDGswZH0HBeYKCB-fTFJshs6HCngqO_aBEYWX1IwwQg,루루털뭉치,xxyVqHfd4389b0KMlQPpy7WDSL2ld1_F6N33zPBkMOyCjMI8V9up6W1if_GGzgveREmJ_VWiFfpSIQ,0,I,107,82,False,False,False,True
x5NtZuLmWuuFfGesuZo0o9P-x7aK__1oVGhGzov5We__qg,살이많은사람,GwNDYOETOdCxHms6YzUYSbUNEBxKAl7UKvoAdB8sSlcVGBd1vhoiaBgycQJ1F11m31gm-HgLwmf8kw,33,I,148,116,False,False,False,False
N8ZqR6xbHKjDeDhEDL0h5LHJUOfDopSs-osSpM3ynVfung,데프콩,UHQfMxRi8B2DFCoYg4een_eQImZUgPs-OGhTfHiq-92HJkzlg1m-OHPnUiIl_K0opLUHQPTfD62gjw,36,I,124,101,False,False,True,False
Kp8UV1hRFcqh_RFbSJbpppkGwCl1v2bFgt1NuwA-7eUOXnHh,9리롤,2-UQbM1uUCJxNSXkzwv_AXZFb0cec65P9agBV3vzv-mnuaIumlpaW0h2VBqYkTkdTKB9pGv3vPk5Ww,0,I,141,111,False,False,False,False
sVdJzCq0S_zt8lLs9ry96oIvjO4-w4_HsxAk2KPeTE7PAA,말자석,DIS8PJSDao82E23l9i1epj_AmKP2OMRtOG_TBhp2rs4N4WdJvTguxM1g92US7i3BSG7VZsMnnXyHvw,0,I,245,253,False,False,False,False
YggAF7XITpHAThlI1v94fDrOuhLYJNVElbWblz32_rvxvA,쓰레기태우기,eFT3zrXQBh4QhpwtcSxMpiVFGxtZcNkeCES7vzqcQDrN5HGMw1fv9f5QbKND2b-3JEB5_vhrFM62rQ,10,I,134,117,False,False,False,False
BRT0qHgnMHDzWtcN8X4CRZkzL003T0H73vdBz5m6dPVotww,전역한지 2개월,K2JtHYGL9yzMBacl0k5ZNdomI8DloXCRbToJx4naydjD651Zk7fMU3L2GJBZeG-R0ztKH5sF-mbxmA,294,I,169,134,False,False,False,False
FG0qOXAEuNPmLZx1qxLS0rj6TyQPlHKTXHpg3psMwBw15w,SinGon2,7jgIr_do-3eT1A0pDJsSt1L0wqZ1YO4AJTILkU0UqmKG_-TwTFTkMDdY5WxwFNf9CpQEMdwHFXUiQA,0,I,154,136,False,False,False,False
2SBz_gVHmscYACEx5sFotYcwKUCR4MzlqkcszFTKTQTNVpzjsIjv0gB_aw,olivier goroud,vwPwT-jlpZBvOBC722gd-jSZIusKAyUn2TgAwaI4MNBy3Md8caaQfMDQK3dOhz7p_B47c2OitfTbhA,26,I,129,107,False,False,False,False
UXUbbNePpYoNqpdL14FK9GGQgef1wZ4OTl9ippZAmHiUJBQ,이빵임,v6Aiyzs7x40zJPfCc1aoBjMcRE2nEnTiRYpzR3kzHX2WgAj3BkxkgZG2lMbB9fnQDOJF6FESqf_5XA,0,I,117,92,False,False,False,True
mIur_6rw_TGt8vZpATa9HbsDMV_HlYts1VITHmOgTqUVyg,20170420,l1a4-lPWXvIJYOC9I-rBHAszUfM1a-n_Ttf16q_YiuTNabOOecfy8ZnaumPIKRUFoiS288V3A2McOw,0,I,130,111,True,False,False,False
jQhMIU2IjDh8BxM-fHrD7YbP-I8BQH2xgQ3KJ2pUt5X8J8s,워리쓰,wEILKzLHDs6mE8cPs-7puPZ9FeCmYmuQGE3RB97Y5OvLsFFYim7-yR4bneSYD3aJ2MYyAzUV6FZ37A,0,I,94,71,False,False,False,False
QDDsxfyOeo6WplXX0LtwfNP_EOJlv0bwLkbCKEkqf6xC4w,비데는따스해,EO0acpPaQ3eGMLaKASPmHoTi8xGuzIryWmYpB2mWhU28bD6Z3DrHR4LrJusrI_baFHSSniF9PpcaYA,22,I,70,52,False,False,False,False
YBaWuHZzlNkd9kk6aJQ38FYSvzTbkorByRu5dHIvpU0MdXfei3nhmjrXpw,건 추 ,SF3nIEQ445jBGSAkez-Vll1urAM6-IGL3tgLFlLd8UGxp_D7AYwPICpGykakput_sRL5uj6Yi2IADg,0,I,170,151,True,False,False,False
R9ww7FsqtSsNDwnBl0JLAvqY0fKsxkTUiuI75ftuXUUqZw,하우애벌,SDtdFjsfI2qTZAWghY10JAGycef_ieWljpAp-oMW-fQlYlhoQvUosaoyifuCvr_CKFxq0BOwchcskA,213,I,410,386,False,False,True,False
GYP5lk1zvF1V_2_ehmuGlcKE0vYN1KyBjdqvrhzT4pMv1FA,당당송당당리꾸송,uzqyLs21GBPxNgdJLdapKZFw6M7JQCET5l9GxZJ9C87jUyc9NbnGGS7nIASOn-yvfF-EzPoI-8fM4g,27,I,190,184,False,False,True,True
rN8NhGohI6WR0fkER3cf_aa7fcuNt8zfaDOWQH6bHbGLhg,내전협회홍상무,_BX6tzdI3l_bvADA3LsCowOxTfzdBOvxUVTnnldFKAmFko7_s03k8XC3u6g8d4nZ7gchn04qQrJkiA,0,I,138,107,False,False,True,False
HWxl1ZN5Ci7o29Q98iYzbwlVcNXmSoNr2HqYmZaEKMXV3JE,김우엿,hrIAdjChgA8xCG4XzjiLg7STkYmU-Vc3qJelhYRgfsmxJTSw5CsEZ9nSJO6FakwkGdw2P1X8ohEvCA,0,I,100,100,False,False,False,False
y0vg3s0zZclcO2Sq3VIQpuaBVUCe9ui31HqeZeBY_vky1rA,불암초척추분쇄기,x8CiGB73pojQCTO9xp3uFNI1i0nFBRcjlBmo5MoM5CNNMdnC1QN6Lf-Yj65HrKttWb5g2SJ8u-P7yg,134,I,97,77,False,False,False,True
Uc-NtdB6_vnCG19lBjz_eM-mx11PcEfbbx8W15vGQEu9okrwYptRRw00Vg,너거들최영우아노,DABwBFXWQtiqU5QOCOagaNZloFeucWqKcOVx_t6h1L4B5BEBQnicRnpzmj54Rnt08HLkUFwoaLnd1A,0,I,139,103,False,False,False,False
VBC9biTbTiHdtlM1BC7Gum5dPCEX9o-zPZHop7XmNO-7IpY,브라덥,UPNH_QUO43f70cCKwAe6HUpX9L78tZoypwZtb1h9r7yUo9Ot2WI2O-yC6Kq8DXt8yKXCc2Q9UXUAeA,85,I,119,99,False,False,False,False
L54jOAuWPvAkwdNYahOdkv-KdAs-UQoK7ECX2x8kB774ZQ,춤추는박수무당,RXkaIOilenckCZIFLkUADxD3KcnwPv0hCPTvffBs2fa5aDCwUilRs_maujDF4KqBObgFypiIFzXSyA,17,I,259,270,False,False,True,False
uHTy6j1pJKSHLO4JHT9nwvc-hZVr4x1tZg66oCAcDYMEmww,목 석,WYJZJNOvxOfjreujOkDUafBmRSvOAKJPDzfFJxw90SIX52R8hK46I22g-GL_Apm8Ac8G_aiTmKHc8A,0,I,129,120,False,False,False,False
_FBtHAR6Ln8AGobdB1pqKFFIkQosHRqfkG4Wkq3Zb-p0P_GPFuNIQldNIQ,입암동 국연수,TUZYxbmGGcMwdmky2FUc8uDKq4RRmziK7dOA8yvXdizFRO8m_Lv50VdNXmpSZGxjOX6csPtzvBbPOQ,0,I,80,58,False,False,True,False
CQAVmyxmEVcLL4_1S8kozxkzogrfLLnJ4hUw_NKuEiuj2Dc,따뜻한 만찐두빵,drW2q0rz1UB_w0Og-TvprnUazyh49gvpJZmS6RJNi3yis6GpNBAQvT368wk82DUZNWiOnwfAwWR8jg,409,I,78,46,False,False,True,False
tgxDsi6BG-QcYOhgbw9MXRDSgjO05t5aQwSjhdB_CudJIA,트러블메이커장,yMA_VvnAopNU7Uww18I1ZRgK6FnpRLCBn7dfYDtuskEZD9tjK2jkwpzyBv2KbyWG9UkDI72dmwZvOA,0,I,164,176,False,False,False,False
5biC67n8mh51N4nyAofZtjk6p83Dw7U4r6Ezwa9R_Vs5ng,탁이뭉뭉,L8EjjuHQbWaZWYd0DaLUXpMiJX6ZXzL2Ug_0pL0xe_Da8OHbeWKFJTkw_VQ2M4IBpwO9EPayaZCibg,0,I,300,276,False,False,False,False
2ZQtFdp-v9dStOaMfzlSdC1iroZXKVVBi8qg-SZKC-Mrog,당동 허니펀치,yDHwmSJ-d5VgJ3GGziQy6egbcQOwrPCY94HywvKTN1wzPksAycxzEZcDpIM2MED7zHF3BJPuJQ2F2Q,122,I,201,186,True,False,False,True
02v7ly7_oFWz7Z4dF_Hrzw-tvBbsuEkK5e_WB4G6CN0vDXU,목수 제페토,2gU3fZRr6x7FsN0BCieCDdR7g-1lQP3Wa8I6Rr19_Yebw6D-hP-hEnfSBwsPB_6eQemrwlzp5j-oQA,83,I,63,25,False,False,False,False
